0,95554,Public Affairs Officer,307825,10/29/2017 07:19 AM,Responsibility:a5e017f6-903d-4d76-a232-5d1a2c3719ba,PartTime
1,90140,Ambulance Driver-Paramedic,228046,06/18/2015 01:13 AM,Responsibility:571fc8d3-3ee6-4895-ad9d-fc1b0b2eb02c,Co-op
2,92123,Courtesy Car Driver,304951,01/09/2015 08:40 AM,Responsibility:d3f09f46-0d3c-4fd2-8444-d72eba224e1b,Co-op
3,90359,Professional Bass Fisher,155196,12/26/2017 05:43 PM,Responsibility:7bb15161-068b-46ea-b7c7-d639b3f25912,FullTime
4,98535,Hydraulic Elevator Constructor,246700,06/14/2016 06:14 PM,Responsibility:1568443c-65e7-4900-966f-eaf9c4f2cffa,Co-op
5,99227,Pollster,349410,09/25/2016 07:03 AM,Responsibility:213039a5-f59c-4787-9a5f-d34eed5a56dc,Co-op
6,94063,Human Resources Generalist,152922,06/23/2015 07:48 AM,Responsibility:8b80a569-389c-4bc8-adeb-1eefccaa0ab4,Co-op
7,97242,Parcel Post Clerk,316753,12/24/2015 06:26 AM,Responsibility:11244a89-0114-4c32-bac7-b60be848f2ab,FullTime
8,92398,River Expedition Guide,253624,07/26/2015 12:33 AM,Responsibility:e1a10bd0-186e-478a-9759-7b1c8ee15c6a,Co-op
9,93220,Industrial Real Estate Agent,351346,05/21/2016 03:47 AM,Responsibility:521604d6-02bd-4e20-a64e-a8dd18759dbb,FullTime
10,95796,Auto Glass Installer,304257,12/27/2015 01:18 PM,Responsibility:49abaf46-f354-445f-bcba-bdb61f33d1fa,Co-op
11,94482,Cue Selector,373339,02/22/2015 03:31 PM,Responsibility:1e3b1ead-5c8d-48e2-aada-db0b112c6701,PartTime
12,94806,Figure Model,298714,10/22/2016 02:03 AM,Responsibility:0899086f-9c13-4c32-9b01-62d0b1eaa452,PartTime
13,98615,Resource Conservationist,359698,12/25/2016 11:36 PM,Responsibility:775c802d-2afa-45b2-8c27-bf342907e00f,Intern
14,99483,Costume Designer,342015,08/24/2015 11:54 PM,Responsibility:79c52a35-9863-4e2a-a209-e65538f4e24c,FullTime
15,98744,Loader Operator,285870,12/29/2016 02:20 PM,Responsibility:49f6bac7-c37e-4d6c-8187-f04e761193c7,PartTime
16,99528,Insurance Collector,485629,06/27/2017 02:49 AM,Responsibility:29fb1857-220c-4438-8bb2-f9e90a21368c,Intern
17,99819,Ice Cream Server,183494,09/26/2016 05:47 AM,Responsibility:026fd220-8a1e-47ea-9813-5bf3edfc7344,PartTime
18,91000,Skiagrapher,431166,06/25/2016 07:30 PM,Responsibility:cc7bc977-9336-40f8-9963-6b5fb9d66834,PartTime
19,92776,Physical Therapy Assistant,77607,05/02/2016 08:38 AM,Responsibility:fb41b73b-2ae8-4d75-943f-40f32c08ee88,Co-op
20,90226,Logging Truck Driver,318946,12/24/2015 03:48 PM,Responsibility:2ff1aba8-ec56-4998-8f39-4befab8fb08b,Co-op
21,94269,Car Refinisher,253582,08/20/2017 04:09 AM,Responsibility:0ee1cbd7-4f11-4f3e-b16e-5c22608483e8,PartTime
22,92542,Range Scientist,435593,12/01/2017 09:24 PM,Responsibility:03ec1b91-a209-4f44-8568-fe4815064f3c,FullTime
23,93851,Data Processing Clerk,53786,09/07/2015 12:06 PM,Responsibility:ef680ce9-1ac6-4691-a661-245b142eac27,Co-op
24,95360,Time Clerk,173667,04/15/2015 12:10 PM,Responsibility:dc7c321f-2d00-4613-9e41-7e30bcc0bee0,FullTime
25,93422,Cardiac Catheterization Laboratory Technologist,241000,05/12/2016 03:34 AM,Responsibility:78cb0ea0-eff8-479b-916c-86a86d73c0ae,FullTime
26,93696,Tea Bag Packer,480454,05/26/2017 07:46 PM,Responsibility:713a52a0-2b48-49e8-9c8a-7786ce5d67e4,Co-op
27,99857,Numerical Tool and Process Control Programmer,167649,08/06/2015 06:12 AM,Responsibility:519fa308-e3b3-4a4c-b8d8-46108e1ee860,Co-op
28,96920,Advanced Seal Delivery System,289759,04/08/2016 09:48 AM,Responsibility:5cac80da-f59d-4922-93d2-6606e48b06c3,PartTime
29,94029,Power Distribution Engineer,205981,11/18/2017 10:35 AM,Responsibility:7fbab234-0c47-4961-a0ef-ddc674e31b43,PartTime
30,91853,Insurance Employee Trainer,429416,07/03/2015 07:01 PM,Responsibility:d427b5f3-b54e-47d0-b401-e94d78605886,FullTime
31,95836,Feller Buncher Operator,381041,02/12/2017 11:45 AM,Responsibility:460f77c0-0bda-4d2c-9ede-f1efdad07c6a,Intern
