0,Accuracy
1,Adaptable
2,Administrative
3,Advising
4,Analysis
5,Analytical
6,Assembling Apparatus
7,Being Artistic/Creative
8,Being Thorough
9,Budgeting
10,Business Storytelling
11,Calculations
12,Challenging Employees
13,Classifying Records
14,Coaching Individuals
15,Collaboration
16,Communication
17,Compiling Statistics
18,Computer
19,Conducting Meetings
20,Conflict Resolution
21,Confronting Others
22,Construction
23,Consultation
24,Counseling
25,Creating Ideas
26,Creating Innovation
27,Creating New Solutions
28,Creating New Procedures
29,Creative Thinking
30,Critical Thinking
31,Customer Service
32,Decision Making
33,Defining Performance Standards
34,Defining Problems
35,Demonstrations
36,Detail Management
37,Dispensing Information
38,Displaying Ideas
39,Editing
40,Emotional Control
41,Encouragement
42,Entertainment
43,Equipment Operation
44,Evaluating
45,Expression of Feelings
46,Financial Report Auditing
47,Fundraising
48,Goal Setting
49,Handling Complaints
50,Human Resources
51,Independent Action
52,Information Search
53,Innovation
54,Interpersonal
55,Interviews
56,Inventing New Ideas
57,Investigation
58,Involvement
59,Knowledge of Current Governmental Affairs
60,Language Translation
61,Leadership
62,Learning
63,Listening
64,Locating Missing Documents/Information
65,Logical Thinking
66,Maintaining High Levels of Activity
67,Maintenance
68,Management
69,Managing Finances
70,Measuring Boundaries
71,Medical Assistance
72,Meeting Deadlines
73,Microsoft Office
74,Monetary Collection
75,Motivation
76,Multitasking
77,Negotiation
78,Networking
79,Nonverbal Communication
80,Numerical Analysis
81,Oration
82,Organizational
83,Organizational Management
84,Organizational Tasks
85,Overseeing Meetings
86,Overseeing Operation
87,Personal Interaction
88,Plan Development
89,Planning
90,Prediction
91,Preparing Written Documents
92,Principal Concept Knowledge
93,Prioritizing
94,Problem Solving
95,Promotions
96,Proposals
97,Proposal Writing
98,Publications
99,Public Relations
100,Public Speaking
101,Questioning Others
102,Reading Volumes
103,Reasoning
104,Recommendations
105,Regulating Rules
106,Rehabilitating Others
107,Remembering Facts
108,Reporting
109,Report Writing
110,Responsibility
111,Service
112,Scheduling
113,Screening Calls
114,Sketching
115,Supervision
116,Technical Support
117,Team Building
118,Teamwork
119,Technical
120,Technology
121,Time Management
122,Toleration
123,Training
124,Transferable
125,Updating Files
