0,75340,5757,12/28/2015 04:46 AM
1,2750,4918,03/16/2017 06:13 PM
2,66413,7575,05/08/2016 02:10 PM
3,53965,5202,01/17/2015 06:09 AM
4,39757,9969,10/15/2015 11:34 AM
5,79563,1041,05/24/2017 08:59 PM
6,58313,4939,05/13/2015 01:56 PM
7,75790,9856,08/31/2015 03:55 PM
8,64732,345,12/28/2015 07:02 PM
9,16057,2084,02/10/2016 01:21 AM
10,46870,1822,11/24/2016 03:37 AM
11,26396,7520,08/19/2016 10:37 AM
12,40274,6298,06/27/2015 03:25 AM
13,64814,639,09/06/2015 03:17 AM
14,42794,366,06/06/2015 10:17 AM
15,54778,5785,04/05/2016 11:35 PM
16,25621,240,12/14/2016 04:49 PM
17,45341,2336,03/24/2017 08:55 AM
18,58813,2990,06/20/2015 07:20 AM
19,38418,6124,12/25/2015 09:50 PM
20,2271,7848,08/18/2017 08:03 PM
21,60692,9243,12/17/2016 03:27 PM
22,13419,6841,01/03/2017 04:16 AM
23,67090,9005,06/18/2017 10:10 AM
24,29758,2094,09/05/2016 01:45 PM
25,53482,605,09/08/2015 09:25 PM
26,55059,8072,01/17/2016 11:55 AM
27,36502,7713,11/21/2016 07:22 AM
28,74576,7978,03/29/2015 06:42 AM
29,355,5270,08/07/2016 01:45 PM
30,26173,6289,05/21/2015 07:31 PM
31,17802,8293,04/07/2017 02:31 AM
32,5756,9887,03/06/2015 08:46 PM
33,75606,8591,06/26/2015 03:23 PM
34,82936,4828,05/12/2016 03:44 PM
35,76950,349,09/01/2015 02:23 PM
36,44786,6935,10/30/2015 07:39 AM
37,11877,2732,06/15/2016 09:54 AM
38,84986,7370,03/02/2017 04:08 AM
39,34698,4795,05/22/2017 05:46 PM
40,35289,7732,06/01/2016 03:04 PM
41,7309,140,03/11/2015 03:21 AM
42,61310,6230,07/27/2017 05:29 PM
43,18592,1426,05/09/2015 09:17 AM
44,17362,4212,09/03/2017 04:19 PM
45,56930,8390,05/04/2016 06:36 PM
46,66043,4470,05/05/2015 09:09 PM
47,54543,8283,08/07/2016 02:06 PM
48,35861,5594,08/26/2017 10:40 AM
49,48850,7761,05/20/2016 01:06 AM
50,7023,3607,03/20/2015 11:01 AM
51,6572,6379,08/04/2017 08:46 AM
52,75159,6074,11/18/2015 07:33 PM
53,826,6344,02/15/2015 08:16 PM
54,50355,4137,08/14/2015 05:09 AM
55,75507,4546,05/05/2017 02:31 AM
56,39556,923,10/24/2016 12:16 AM
57,33339,4488,11/13/2017 11:31 PM
58,9274,6257,06/05/2016 06:15 PM
59,22421,3754,10/07/2015 01:46 AM
60,86974,9104,07/06/2017 05:27 PM
61,80317,3267,08/10/2017 04:57 PM
62,69387,5051,01/31/2015 03:09 PM
63,71939,7676,03/21/2015 12:05 PM
64,9669,7505,08/28/2017 08:28 AM
65,27403,4347,01/22/2016 07:56 PM
66,64049,7684,06/25/2016 09:55 PM
67,64702,7951,09/01/2016 06:48 PM
68,48074,1955,06/02/2015 03:06 AM
69,35227,3295,06/10/2017 08:07 AM
70,26224,6409,06/22/2016 07:11 AM
71,37140,62,10/15/2015 11:33 PM
72,55145,3176,04/17/2016 09:11 PM
73,13780,1047,10/18/2015 10:44 PM
74,44514,3955,05/19/2015 09:11 AM
75,16630,8218,02/16/2015 04:50 PM
76,41024,3923,09/09/2016 08:09 AM
77,89648,8409,07/14/2017 12:47 PM
78,16790,4957,07/12/2016 08:59 PM
79,9646,4610,06/15/2015 02:24 AM
80,42140,2162,07/22/2015 02:26 PM
81,22534,4163,11/10/2016 09:50 AM
82,43658,9713,04/07/2016 11:36 PM
83,97,3202,02/07/2017 12:48 PM
84,25994,7770,07/03/2017 06:21 PM
85,18023,2197,02/16/2015 08:49 PM
86,21620,8785,05/21/2017 02:43 AM
87,37002,3138,02/26/2017 09:02 PM
88,65651,365,11/27/2016 08:16 PM
89,59804,9442,06/08/2015 12:14 PM
90,17500,8962,06/13/2015 03:41 AM
91,76545,3120,01/21/2015 12:31 PM
92,76580,5241,11/10/2015 12:53 AM
93,5811,6002,12/28/2015 10:55 AM
94,52323,3674,05/27/2016 08:04 AM
95,60441,2937,04/03/2015 03:28 AM
96,82133,6725,08/09/2015 11:45 AM
97,60792,4260,02/02/2016 08:12 AM
98,21456,7271,11/11/2015 06:25 AM
99,32386,5040,07/14/2015 02:26 AM
100,18938,4393,02/05/2017 03:10 PM
101,34187,8543,01/21/2016 04:01 AM
102,35065,6194,01/28/2015 04:34 AM
103,46292,1067,07/25/2017 11:01 PM
104,82342,3621,08/14/2016 09:01 AM
105,22623,9260,10/27/2015 03:53 AM
106,7797,9000,10/23/2015 07:23 AM
107,40460,1440,10/22/2016 07:24 PM
108,14064,1360,05/19/2017 09:26 PM
109,11882,4107,09/23/2015 09:23 PM
110,57129,9089,01/21/2016 01:48 PM
111,33604,7819,09/05/2017 07:55 AM
112,42740,7325,07/02/2017 06:38 AM
113,22333,1489,11/14/2015 09:55 AM
114,84056,9987,12/07/2015 01:06 AM
115,83169,5123,12/04/2017 01:50 AM
116,64203,8077,10/05/2017 06:33 PM
117,60408,6395,11/03/2015 06:06 AM
118,93,3493,12/23/2016 08:14 PM
119,70737,1816,02/08/2017 12:33 PM
120,85319,4926,05/11/2017 07:22 AM
121,49096,4121,07/11/2016 11:10 AM
122,74327,5420,04/23/2016 01:24 PM
123,52565,473,03/10/2015 08:22 AM
124,49650,3492,05/19/2017 08:44 PM
125,83028,7873,06/04/2016 09:46 AM
126,1389,6549,09/05/2015 12:35 AM
127,14507,5582,08/22/2016 01:01 PM
128,75709,9117,02/19/2017 11:32 AM
129,48301,5300,03/23/2016 03:11 PM
130,77867,8084,07/17/2017 08:23 AM
131,27639,2089,10/10/2017 11:02 AM
132,49282,6205,01/08/2017 12:53 AM
133,55804,6806,02/24/2015 09:31 PM
134,72098,8878,02/05/2016 11:31 AM
135,71326,1181,01/23/2015 10:58 AM
